WeatherData3
Time[h],GlobalRadiation[W/m2],DiffusRadiation[W/m2],AmbientAirTemperature[C],AmbientAirHumidity[%]
1.00,0.00,0.00,14.60,75.00
2.00,0.00,0.00,14.00,78.00
3.00,0.00,0.00,13.50,78.00
4.00,0.00,0.00,13.20,78.00
5.00,0.00,0.00,12.90,78.00
6.00,0.00,0.00,12.80,80.00
7.00,0.00,0.00,12.60,79.00
8.00,0.00,0.00,12.60,80.00
9.00,55.00,36.00,13.00,79.00
10.00,180.00,63.00,14.00,76.00
11.00,297.00,104.00,15.10,68.00
12.00,381.00,125.00,16.10,61.00
13.00,424.00,107.00,16.90,59.00
14.00,403.00,109.00,17.30,57.00
15.00,331.00,111.00,17.50,57.00
16.00,220.00,89.00,17.40,60.00
17.00,90.00,50.00,16.80,65.00
18.00,1.00,1.00,16.00,69.00
19.00,0.00,0.00,15.60,72.00
20.00,0.00,0.00,15.10,74.00
21.00,0.00,0.00,14.70,76.00
22.00,0.00,0.00,14.20,75.00
23.00,0.00,0.00,13.80,72.00
24.00,0.00,0.00,13.30,75.00
25.00,0.00,0.00,13.00,76.00
26.00,0.00,0.00,12.80,75.00
27.00,0.00,0.00,12.40,78.00
28.00,0.00,0.00,12.20,79.00
29.00,0.00,0.00,12.10,82.00
30.00,0.00,0.00,11.90,83.00
31.00,0.00,0.00,11.80,83.00
32.00,0.00,0.00,11.80,81.00
33.00,50.00,39.00,12.20,76.00
34.00,70.00,70.00,12.50,79.00
35.00,130.00,129.00,12.80,78.00
36.00,250.00,197.00,13.40,78.00
37.00,372.00,192.00,14.10,74.00
38.00,290.00,206.00,14.40,72.00
39.00,62.00,62.00,14.10,77.00
40.00,21.00,21.00,13.70,79.00
41.00,9.00,9.00,13.30,81.00
42.00,1.00,1.00,12.90,90.00
43.00,0.00,0.00,12.40,90.00
44.00,0.00,0.00,12.80,89.00
45.00,0.00,0.00,12.40,92.00
46.00,0.00,0.00,12.30,96.00
47.00,0.00,0.00,12.20,97.00
48.00,0.00,0.00,12.00,98.00
49.00,0.00,0.00,11.80,98.00
50.00,0.00,0.00,11.60,98.00
51.00,0.00,0.00,11.50,98.00
