WeatherData2
Time[h],GlobalRadiation[W/m2],DiffusRadiation[W/m2],AmbientAirTemperature[C],AmbientAirHumidity[%]
1.00,0.00,0.00,28.80,94.00
2.00,0.00,0.00,28.60,94.00
3.00,0.00,0.00,28.40,95.00
4.00,0.00,0.00,28.20,96.00
5.00,0.00,0.00,28.00,98.00
6.00,0.00,0.00,27.70,99.00
7.00,1.00,1.00,27.80,99.00
8.00,173.00,160.00,29.40,93.00
9.00,186.00,184.00,30.10,90.00
10.00,208.00,207.00,30.50,88.00
11.00,205.00,203.00,30.80,85.00
12.00,353.00,330.00,31.40,82.00
13.00,410.00,394.00,32.00,78.00
14.00,361.00,345.00,32.40,76.00
15.00,88.00,88.00,31.90,77.00
16.00,167.00,167.00,31.70,77.00
17.00,73.00,73.00,31.30,79.00
18.00,60.00,54.00,31.00,80.00
19.00,0.00,0.00,30.50,82.00
20.00,0.00,0.00,30.10,83.00
21.00,0.00,0.00,29.60,84.00
22.00,0.00,0.00,29.10,84.00
23.00,0.00,0.00,28.60,85.00
24.00,0.00,0.00,28.20,85.00
25.00,0.00,0.00,27.40,89.00
26.00,0.00,0.00,26.50,90.00
27.00,0.00,0.00,25.70,93.00
28.00,0.00,0.00,24.90,96.00
29.00,0.00,0.00,24.00,99.00
30.00,0.00,0.00,23.20,99.00
31.00,45.00,45.00,24.00,97.00
32.00,94.00,94.00,24.50,96.00
33.00,417.00,282.00,26.80,88.00
34.00,484.00,380.00,28.30,83.00
35.00,662.00,449.00,29.90,77.00
36.00,725.00,462.00,31.20,72.00
37.00,567.00,465.00,31.60,70.00
38.00,715.00,438.00,32.30,68.00
39.00,566.00,389.00,32.50,67.00
40.00,409.00,281.00,32.20,69.00
41.00,253.00,181.00,31.50,72.00
42.00,65.00,55.00,30.30,77.00
43.00,0.00,0.00,29.80,79.00
44.00,0.00,0.00,29.30,81.00
45.00,0.00,0.00,28.80,83.00
46.00,0.00,0.00,28.30,85.00
47.00,0.00,0.00,27.80,86.00
48.00,0.00,0.00,27.30,87.00
49.00,0.00,0.00,27.00,87.00
50.00,0.00,0.00,26.80,87.00
51.00,0.00,0.00,26.50,88.00
52.00,0.00,0.00,26.30,90.00
53.00,0.00,0.00,26.00,92.00
54.00,0.00,0.00,25.80,94.00
55.00,33.00,33.00,26.50,92.00
56.00,71.00,71.00,27.00,90.00
57.00,10.00,10.00,26.70,90.00
58.00,151.00,151.00,27.40,87.00
59.00,339.00,325.00,28.60,82.00
60.00,404.00,359.00,29.60,77.00
61.00,773.00,453.00,31.50,70.00
62.00,688.00,438.00,32.60,65.00
