WeatherData4
Time[h],GlobalRadiation[W/m2],DiffusRadiation[W/m2],AmbientAirTemperature[C],AmbientAirHumidity[%]
1.00,0.00,0.00,4.20,87.00
2.00,0.00,0.00,4.70,78.00
3.00,0.00,0.00,4.40,77.00
4.00,0.00,0.00,4.30,76.00
5.00,0.00,0.00,4.20,76.00
6.00,0.00,0.00,4.10,77.00
7.00,0.00,0.00,4.00,76.00
8.00,0.00,0.00,4.00,74.00
9.00,13.00,13.00,4.30,74.00
10.00,36.00,36.00,4.70,73.00
11.00,56.00,56.00,5.10,67.00
12.00,73.00,73.00,5.50,66.00
13.00,88.00,88.00,5.80,66.00
14.00,75.00,75.00,6.00,64.00
15.00,53.00,53.00,6.00,65.00
16.00,27.00,27.00,5.80,68.00
17.00,1.00,1.00,5.50,84.00
18.00,0.00,0.00,5.10,84.00
19.00,0.00,0.00,4.70,87.00
20.00,0.00,0.00,4.60,84.00
21.00,0.00,0.00,4.20,84.00
22.00,0.00,0.00,4.00,84.00
23.00,0.00,0.00,3.80,87.00
24.00,0.00,0.00,3.50,87.00
25.00,0.00,0.00,3.20,87.00
26.00,0.00,0.00,2.90,87.00
27.00,0.00,0.00,2.60,87.00
28.00,0.00,0.00,2.40,87.00
29.00,0.00,0.00,2.30,87.00
30.00,0.00,0.00,2.20,87.00
31.00,0.00,0.00,2.10,87.00
32.00,0.00,0.00,2.10,87.00
33.00,36.00,32.00,2.90,69.00
34.00,112.00,90.00,4.30,66.00
35.00,170.00,140.00,5.70,62.00
36.00,185.00,163.00,6.70,60.00
37.00,186.00,168.00,7.30,57.00
38.00,162.00,150.00,7.60,56.00
39.00,121.00,116.00,7.60,58.00
40.00,59.00,59.00,7.10,61.00
41.00,2.00,2.00,6.30,64.00
42.00,0.00,0.00,5.70,69.00
43.00,0.00,0.00,5.20,65.00
44.00,0.00,0.00,4.60,68.00
45.00,0.00,0.00,4.00,75.00
46.00,0.00,0.00,3.40,80.00
47.00,0.00,0.00,2.90,79.00
48.00,0.00,0.00,2.30,84.00
49.00,0.00,0.00,1.70,90.00
50.00,0.00,0.00,1.00,92.00
51.00,0.00,0.00,0.30,91.00
52.00,0.00,0.00,-0.10,93.00
53.00,0.00,0.00,-0.40,94.00
54.00,0.00,0.00,-0.70,93.00
55.00,0.00,0.00,-0.90,99.00
56.00,0.00,0.00,-0.90,100.00
57.00,46.00,28.00,0.00,95.00
58.00,140.00,70.00,1.50,88.00
59.00,218.00,107.00,3.10,77.00
60.00,282.00,118.00,4.50,71.00
61.00,289.00,138.00,5.50,68.00
62.00,261.00,122.00,6.10,68.00
63.00,160.00,118.00,5.90,68.00
64.00,74.00,67.00,5.10,67.00
65.00,2.00,2.00,4.00,72.00
66.00,0.00,0.00,3.50,75.00
67.00,0.00,0.00,3.10,80.00
68.00,0.00,0.00,2.60,80.00
69.00,0.00,0.00,2.10,84.00
70.00,0.00,0.00,1.70,87.00
71.00,0.00,0.00,1.20,89.00
72.00,0.00,0.00,0.80,91.00
73.00,0.00,0.00,0.40,91.00
74.00,0.00,0.00,0.10,91.00
75.00,0.00,0.00,-0.20,89.00
76.00,0.00,0.00,-0.40,90.00
77.00,0.00,0.00,-0.50,93.00
78.00,0.00,0.00,-0.70,90.00
79.00,0.00,0.00,-0.80,91.00
80.00,0.00,0.00,-0.80,92.00
81.00,59.00,42.00,0.50,87.00
82.00,112.00,94.00,1.60,85.00
83.00,174.00,135.00,2.80,81.00
84.00,305.00,134.00,4.60,74.00
85.00,238.00,166.00,5.30,72.00
86.00,80.00,80.00,4.70,77.00
87.00,111.00,107.00,4.40,76.00
88.00,73.00,64.00,4.00,77.00
89.00,5.00,5.00,3.10,77.00
90.00,0.00,0.00,2.90,83.00
91.00,0.00,0.00,2.70,89.00
92.00,0.00,0.00,2.50,89.00
93.00,0.00,0.00,2.30,91.00
94.00,0.00,0.00,2.10,91.00
95.00,0.00,0.00,1.80,90.00
96.00,0.00,0.00,1.60,94.00
97.00,0.00,0.00,1.30,90.00
98.00,0.00,0.00,0.70,94.00
99.00,0.00,0.00,0.80,91.00
100.00,0.00,0.00,0.80,93.00
101.00,0.00,0.00,0.60,90.00
102.00,0.00,0.00,0.50,98.00
103.00,0.00,0.00,0.50,96.00
104.00,0.00,0.00,0.40,95.00
105.00,12.00,12.00,0.70,95.00
106.00,44.00,44.00,1.20,89.00
107.00,80.00,80.00,1.80,88.00
108.00,86.00,86.00,2.20,87.00
109.00,90.00,90.00,2.50,84.00
110.00,74.00,74.00,2.60,86.00
111.00,55.00,55.00,2.60,84.00
112.00,27.00,27.00,2.40,83.00
113.00,2.00,2.00,2.00,81.00
114.00,0.00,0.00,1.80,79.00
115.00,0.00,0.00,1.60,79.00
116.00,0.00,0.00,1.30,79.00
117.00,0.00,0.00,1.10,82.00
118.00,0.00,0.00,0.90,82.00
119.00,0.00,0.00,0.60,82.00
120.00,0.00,0.00,0.40,83.00
121.00,0.00,0.00,0.20,81.00
122.00,0.00,0.00,0.00,78.00
123.00,0.00,0.00,-0.20,77.00
124.00,0.00,0.00,-0.20,77.00
125.00,0.00,0.00,-0.30,80.00
126.00,0.00,0.00,-0.40,74.00
127.00,0.00,0.00,-0.40,77.00
128.00,0.00,0.00,-0.40,76.00
129.00,37.00,31.00,0.50,79.00
130.00,148.00,66.00,2.60,69.00
131.00,247.00,83.00,4.80,61.00
132.00,330.00,86.00,7.00,53.00
133.00,333.00,96.00,8.40,52.00
134.00,286.00,108.00,9.10,56.00
135.00,199.00,104.00,9.20,54.00
136.00,83.00,68.00,8.20,56.00
137.00,2.00,2.00,6.70,60.00
138.00,0.00,0.00,6.40,59.00
139.00,0.00,0.00,6.10,61.00
140.00,0.00,0.00,5.80,63.00
141.00,0.00,0.00,5.50,65.00
142.00,0.00,0.00,5.20,67.00
143.00,0.00,0.00,4.90,65.00
144.00,0.00,0.00,4.60,64.00
145.00,0.00,0.00,4.20,66.00
146.00,0.00,0.00,3.80,70.00
147.00,0.00,0.00,3.40,72.00
148.00,0.00,0.00,3.20,70.00
149.00,0.00,0.00,3.00,74.00
150.00,0.00,0.00,2.90,76.00
151.00,0.00,0.00,2.80,77.00
152.00,0.00,0.00,2.80,76.00
153.00,5.00,5.00,2.90,77.00
154.00,22.00,22.00,3.20,77.00
155.00,50.00,50.00,3.60,79.00
156.00,48.00,48.00,3.90,80.00
157.00,54.00,54.00,4.10,83.00
158.00,286.00,137.00,5.70,72.00
159.00,216.00,96.00,6.50,70.00
160.00,118.00,60.00,6.70,68.00
161.00,7.00,7.00,6.10,71.00
162.00,0.00,0.00,5.60,75.00
163.00,0.00,0.00,5.20,81.00
164.00,0.00,0.00,4.80,80.00
165.00,0.00,0.00,4.30,80.00
166.00,0.00,0.00,3.90,80.00
167.00,0.00,0.00,3.40,82.00
168.00,0.00,0.00,3.00,82.00
169.00,0.00,0.00,2.50,81.00
170.00,0.00,0.00,2.00,82.00
171.00,0.00,0.00,1.50,83.00
172.00,0.00,0.00,1.20,82.00
173.00,0.00,0.00,1.00,87.00
174.00,0.00,0.00,0.80,87.00
175.00,0.00,0.00,0.60,89.00
176.00,0.00,0.00,0.60,89.00
177.00,6.00,6.00,0.70,86.00
178.00,16.00,16.00,0.90,85.00
179.00,26.00,26.00,1.10,84.00
180.00,60.00,60.00,1.40,84.00
181.00,34.00,34.00,1.50,85.00
182.00,228.00,153.00,2.60,84.00
183.00,192.00,102.00,3.30,78.00
184.00,110.00,60.00,3.40,76.00
185.00,7.00,7.00,3.00,78.00
186.00,0.00,0.00,2.60,79.00
187.00,0.00,0.00,2.20,77.00
188.00,0.00,0.00,1.80,78.00
189.00,0.00,0.00,1.40,81.00
190.00,0.00,0.00,1.10,84.00
191.00,0.00,0.00,0.70,88.00
192.00,0.00,0.00,0.30,90.00
193.00,0.00,0.00,0.00,97.00
194.00,0.00,0.00,-0.30,97.00
195.00,0.00,0.00,-0.60,96.00
196.00,0.00,0.00,-0.70,94.00
197.00,0.00,0.00,-0.90,92.00
198.00,0.00,0.00,-0.90,90.00
199.00,0.00,0.00,-1.00,92.00
200.00,0.00,0.00,-1.00,93.00
201.00,35.00,31.00,-0.10,92.00
202.00,66.00,66.00,0.80,83.00
203.00,153.00,133.00,2.30,80.00
204.00,227.00,170.00,3.90,71.00
205.00,301.00,152.00,5.60,63.00
206.00,297.00,123.00,6.90,57.00
207.00,302.00,102.00,7.80,52.00
208.00,169.00,45.00,7.80,57.00
209.00,15.00,15.00,6.60,61.00
210.00,0.00,0.00,5.80,61.00
211.00,0.00,0.00,5.10,67.00
212.00,0.00,0.00,4.40,68.00
213.00,0.00,0.00,3.70,74.00
214.00,0.00,0.00,3.00,79.00
215.00,0.00,0.00,2.30,82.00
216.00,0.00,0.00,1.60,82.00
217.00,0.00,0.00,0.70,84.00
218.00,0.00,0.00,-0.30,88.00
219.00,0.00,0.00,-1.30,95.00
220.00,0.00,0.00,-1.90,100.00
221.00,0.00,0.00,-2.50,100.00
222.00,0.00,0.00,-3.00,100.00
223.00,0.00,0.00,-3.40,99.00
224.00,0.00,0.00,-3.60,95.00
225.00,63.00,32.00,-2.80,93.00
226.00,179.00,54.00,-1.50,91.00
227.00,307.00,70.00,0.00,88.00
228.00,353.00,62.00,1.10,81.00
229.00,370.00,64.00,1.90,80.00
230.00,316.00,123.00,2.20,78.00
231.00,207.00,97.00,1.90,78.00
232.00,119.00,60.00,1.20,81.00
233.00,4.00,4.00,-0.10,89.00
234.00,0.00,0.00,-0.70,89.00
235.00,0.00,0.00,-1.40,93.00
236.00,0.00,0.00,-2.10,95.00
237.00,0.00,0.00,-2.70,100.00
238.00,0.00,0.00,-3.40,100.00
239.00,0.00,0.00,-4.10,96.00
240.00,0.00,0.00,-4.70,93.00
241.00,0.00,0.00,-4.70,91.00
242.00,0.00,0.00,-4.70,92.00
243.00,0.00,0.00,-4.70,91.00
244.00,0.00,0.00,-4.70,92.00
245.00,0.00,0.00,-4.70,93.00
246.00,0.00,0.00,-4.70,98.00
247.00,0.00,0.00,-4.70,96.00
248.00,0.00,0.00,-4.70,96.00
249.00,65.00,28.00,-3.30,88.00
250.00,189.00,42.00,-1.10,82.00
251.00,301.00,47.00,1.20,73.00
252.00,379.00,49.00,3.30,66.00
253.00,402.00,50.00,4.80,61.00
254.00,369.00,49.00,5.70,58.00
255.00,280.00,46.00,5.90,59.00
256.00,163.00,38.00,5.20,64.00
257.00,13.00,13.00,3.50,69.00
258.00,0.00,0.00,2.90,69.00
259.00,0.00,0.00,2.30,72.00
260.00,0.00,0.00,1.70,73.00
261.00,0.00,0.00,1.10,77.00
262.00,0.00,0.00,0.50,80.00
263.00,0.00,0.00,-0.10,83.00
264.00,0.00,0.00,-0.70,85.00
265.00,0.00,0.00,-1.20,89.00
266.00,0.00,0.00,-1.70,93.00
267.00,0.00,0.00,-2.30,96.00
268.00,0.00,0.00,-2.60,99.00
269.00,0.00,0.00,-2.90,99.00
270.00,0.00,0.00,-3.10,100.00
271.00,0.00,0.00,-3.30,100.00
272.00,0.00,0.00,-3.40,100.00
273.00,17.00,17.00,-3.10,100.00
274.00,19.00,19.00,-3.00,100.00
275.00,54.00,54.00,-2.70,100.00
276.00,121.00,121.00,-2.00,97.00
277.00,119.00,119.00,-1.60,92.00
278.00,142.00,140.00,-1.10,92.00
279.00,121.00,118.00,-1.00,91.00
280.00,78.00,75.00,-1.00,89.00
281.00,7.00,7.00,-1.50,96.00
282.00,0.00,0.00,-1.60,95.00
283.00,0.00,0.00,-1.70,92.00
284.00,0.00,0.00,-1.80,91.00
285.00,0.00,0.00,-2.00,94.00
286.00,0.00,0.00,-2.10,92.00
287.00,0.00,0.00,-2.20,92.00
288.00,0.00,0.00,-2.30,94.00
289.00,0.00,0.00,-2.20,95.00
290.00,0.00,0.00,-2.00,96.00
291.00,0.00,0.00,-1.90,94.00
292.00,0.00,0.00,-1.80,97.00
293.00,0.00,0.00,-1.70,98.00
294.00,0.00,0.00,-1.60,98.00
295.00,0.00,0.00,-1.50,98.00
296.00,0.00,0.00,-1.50,98.00
297.00,16.00,16.00,-1.00,98.00
298.00,44.00,44.00,-0.30,97.00
299.00,86.00,86.00,0.60,93.00
300.00,116.00,116.00,1.50,90.00
301.00,102.00,102.00,2.00,89.00
302.00,87.00,87.00,2.20,88.00
303.00,64.00,64.00,2.30,83.00
304.00,30.00,30.00,1.90,83.00
305.00,4.00,4.00,1.40,85.00
306.00,0.00,0.00,1.40,83.00
307.00,0.00,0.00,1.30,85.00
308.00,0.00,0.00,1.20,86.00
309.00,0.00,0.00,1.10,84.00
310.00,0.00,0.00,1.00,90.00
311.00,0.00,0.00,0.90,88.00
312.00,0.00,0.00,0.80,86.00
313.00,0.00,0.00,0.60,87.00
314.00,0.00,0.00,0.40,84.00
315.00,0.00,0.00,0.30,88.00
316.00,0.00,0.00,0.20,87.00
317.00,0.00,0.00,0.10,86.00
318.00,0.00,0.00,0.10,81.00
319.00,0.00,0.00,0.10,81.00
320.00,0.00,0.00,0.10,82.00
321.00,45.00,32.00,1.20,77.00
322.00,131.00,87.00,2.90,69.00
323.00,102.00,102.00,3.40,71.00
324.00,219.00,170.00,4.80,65.00
325.00,298.00,166.00,6.30,58.00
326.00,318.00,134.00,7.60,54.00
327.00,130.00,119.00,7.40,54.00
328.00,58.00,58.00,6.60,57.00
329.00,4.00,4.00,5.50,59.00
330.00,0.00,0.00,5.10,61.00
331.00,0.00,0.00,4.70,60.00
332.00,0.00,0.00,4.30,64.00
333.00,0.00,0.00,3.90,64.00
334.00,0.00,0.00,3.40,68.00
335.00,0.00,0.00,3.00,70.00
336.00,0.00,0.00,2.60,73.00
337.00,0.00,0.00,2.00,78.00
338.00,0.00,0.00,1.30,80.00
339.00,0.00,0.00,0.60,81.00
340.00,0.00,0.00,0.20,76.00
341.00,0.00,0.00,-0.20,82.00
342.00,0.00,0.00,-0.50,79.00
343.00,0.00,0.00,-0.80,75.00
344.00,0.00,0.00,-0.90,74.00
345.00,24.00,24.00,-0.60,78.00
346.00,86.00,85.00,0.20,77.00
347.00,123.00,121.00,0.90,79.00
348.00,207.00,179.00,1.80,80.00
349.00,212.00,181.00,2.50,80.00
350.00,95.00,95.00,2.20,79.00
351.00,110.00,110.00,2.20,84.00
352.00,30.00,30.00,1.60,84.00
353.00,4.00,4.00,0.90,88.00
354.00,0.00,0.00,1.00,84.00
355.00,0.00,0.00,1.20,82.00
356.00,0.00,0.00,1.30,83.00
357.00,0.00,0.00,1.50,86.00
358.00,0.00,0.00,1.60,88.00
359.00,0.00,0.00,1.70,90.00
360.00,0.00,0.00,1.90,88.00
361.00,0.00,0.00,1.20,99.00
362.00,0.00,0.00,2.30,91.00
363.00,0.00,0.00,2.70,84.00
364.00,0.00,0.00,2.80,89.00
365.00,0.00,0.00,2.80,92.00
366.00,0.00,0.00,3.40,92.00
367.00,0.00,0.00,3.60,98.00
368.00,0.00,0.00,3.70,95.00
369.00,10.00,10.00,4.10,93.00
370.00,28.00,28.00,4.70,89.00
371.00,49.00,49.00,5.30,90.00
372.00,57.00,57.00,6.00,92.00
373.00,60.00,60.00,6.40,85.00
374.00,55.00,55.00,6.60,86.00
375.00,44.00,44.00,6.70,84.00
376.00,25.00,25.00,6.50,84.00
377.00,3.00,3.00,6.20,85.00
378.00,0.00,0.00,6.20,84.00
379.00,0.00,0.00,6.00,86.00
380.00,0.00,0.00,5.90,89.00
381.00,0.00,0.00,5.70,86.00
382.00,0.00,0.00,5.60,90.00
383.00,0.00,0.00,5.50,91.00
384.00,0.00,0.00,5.40,90.00
385.00,0.00,0.00,4.70,91.00
386.00,0.00,0.00,4.00,94.00
387.00,0.00,0.00,3.30,93.00
388.00,0.00,0.00,3.00,92.00
389.00,0.00,0.00,2.60,94.00
390.00,0.00,0.00,2.40,98.00
391.00,0.00,0.00,2.10,98.00
392.00,0.00,0.00,2.10,96.00
393.00,60.00,39.00,3.30,89.00
394.00,205.00,57.00,5.50,85.00
395.00,340.00,82.00,8.00,79.00
396.00,332.00,145.00,9.40,71.00
397.00,260.00,190.00,9.80,73.00
398.00,264.00,172.00,10.20,71.00
399.00,135.00,123.00,9.50,69.00
400.00,45.00,45.00,8.40,70.00
401.00,9.00,9.00,7.20,72.00
402.00,0.00,0.00,6.80,74.00
403.00,0.00,0.00,6.40,75.00
404.00,0.00,0.00,5.90,75.00
405.00,0.00,0.00,5.50,76.00
406.00,0.00,0.00,5.10,77.00
407.00,0.00,0.00,4.70,82.00
408.00,0.00,0.00,4.30,81.00
409.00,0.00,0.00,4.00,87.00
410.00,0.00,0.00,3.70,88.00
411.00,0.00,0.00,3.40,94.00
412.00,0.00,0.00,3.20,96.00
413.00,0.00,0.00,3.10,97.00
414.00,0.00,0.00,3.00,96.00
415.00,0.00,0.00,2.90,93.00
416.00,0.00,0.00,2.90,91.00
417.00,50.00,42.00,4.20,85.00
418.00,64.00,64.00,4.80,81.00
419.00,116.00,116.00,5.80,75.00
420.00,181.00,168.00,7.10,70.00
421.00,239.00,191.00,8.40,66.00
422.00,271.00,165.00,9.50,61.00
423.00,282.00,99.00,10.50,57.00
424.00,210.00,72.00,10.80,57.00
425.00,28.00,26.00,9.70,60.00
426.00,0.00,0.00,9.30,63.00
427.00,0.00,0.00,8.80,64.00
428.00,0.00,0.00,8.40,65.00
429.00,0.00,0.00,7.90,69.00
430.00,0.00,0.00,7.50,70.00
431.00,0.00,0.00,7.00,74.00
432.00,0.00,0.00,6.60,80.00
433.00,0.00,0.00,6.10,78.00
434.00,0.00,0.00,5.60,80.00
435.00,0.00,0.00,5.10,86.00
436.00,0.00,0.00,4.90,85.00
437.00,0.00,0.00,4.70,85.00
438.00,0.00,0.00,4.50,90.00
439.00,0.00,0.00,4.40,91.00
440.00,0.00,0.00,4.40,91.00
441.00,63.00,33.00,5.50,84.00
442.00,180.00,87.00,7.20,72.00
443.00,368.00,103.00,9.60,63.00
444.00,395.00,135.00,11.30,59.00
445.00,239.00,185.00,11.60,58.00
446.00,95.00,95.00,10.70,60.00
447.00,26.00,26.00,9.50,66.00
448.00,16.00,16.00,8.50,67.00
449.00,5.00,5.00,7.70,69.00
450.00,0.00,0.00,7.50,72.00
451.00,0.00,0.00,7.30,72.00
452.00,0.00,0.00,7.20,76.00
453.00,0.00,0.00,7.00,72.00
454.00,0.00,0.00,6.80,75.00
455.00,0.00,0.00,6.60,77.00
456.00,0.00,0.00,6.40,74.00
457.00,0.00,0.00,6.10,77.00
458.00,0.00,0.00,5.80,79.00
459.00,0.00,0.00,5.50,80.00
460.00,0.00,0.00,5.30,80.00
461.00,0.00,0.00,5.10,78.00
462.00,0.00,0.00,5.00,78.00
463.00,0.00,0.00,4.90,85.00
464.00,0.00,0.00,4.90,82.00
465.00,6.00,6.00,5.10,81.00
466.00,104.00,93.00,6.70,77.00
467.00,119.00,119.00,7.70,78.00
468.00,158.00,155.00,8.70,77.00
469.00,148.00,147.00,9.20,74.00
470.00,233.00,175.00,10.20,72.00
471.00,230.00,125.00,10.90,67.00
472.00,171.00,79.00,11.20,67.00
473.00,22.00,22.00,10.30,67.00
474.00,0.00,0.00,10.00,69.00
475.00,0.00,0.00,9.70,72.00
476.00,0.00,0.00,9.30,78.00
477.00,0.00,0.00,9.00,78.00
478.00,0.00,0.00,8.70,79.00
479.00,0.00,0.00,8.40,82.00
480.00,0.00,0.00,8.10,88.00
481.00,0.00,0.00,7.80,87.00
482.00,0.00,0.00,7.50,92.00
483.00,0.00,0.00,7.20,95.00
484.00,0.00,0.00,7.00,94.00
485.00,0.00,0.00,6.90,95.00
486.00,0.00,0.00,6.80,97.00
487.00,0.00,0.00,6.70,96.00
488.00,0.00,0.00,6.70,100.00
489.00,23.00,23.00,7.20,95.00
490.00,76.00,76.00,8.20,89.00
491.00,103.00,103.00,9.00,84.00
492.00,166.00,161.00,10.00,73.00
493.00,146.00,146.00,10.50,73.00
494.00,124.00,124.00,10.80,71.00
495.00,100.00,100.00,10.80,72.00
496.00,58.00,58.00,10.60,71.00
497.00,21.00,21.00,10.00,70.00
498.00,0.00,0.00,9.50,71.00
499.00,0.00,0.00,9.10,75.00
500.00,0.00,0.00,8.70,76.00
501.00,0.00,0.00,8.30,74.00
502.00,0.00,0.00,7.80,78.00
503.00,0.00,0.00,7.40,80.00
504.00,0.00,0.00,7.00,83.00
505.00,0.00,0.00,6.60,86.00
506.00,0.00,0.00,6.10,92.00
507.00,0.00,0.00,5.70,94.00
508.00,0.00,0.00,5.50,97.00
509.00,0.00,0.00,5.30,96.00
510.00,0.00,0.00,5.10,97.00
511.00,0.00,0.00,5.00,96.00
512.00,0.00,0.00,5.00,96.00
513.00,22.00,22.00,5.40,93.00
514.00,60.00,60.00,5.90,86.00
515.00,65.00,65.00,6.30,82.00
516.00,98.00,98.00,6.70,78.00
517.00,103.00,103.00,7.00,75.00
518.00,98.00,98.00,7.20,73.00
519.00,72.00,72.00,7.20,78.00
520.00,40.00,40.00,7.00,78.00
521.00,13.00,13.00,6.70,84.00
522.00,0.00,0.00,6.40,84.00
523.00,0.00,0.00,5.90,90.00
524.00,0.00,0.00,5.30,92.00
525.00,0.00,0.00,5.00,95.00
526.00,0.00,0.00,4.60,95.00
527.00,0.00,0.00,4.10,93.00
528.00,0.00,0.00,3.70,95.00
529.00,0.00,0.00,3.30,98.00
530.00,0.00,0.00,2.80,98.00
531.00,0.00,0.00,2.40,98.00
532.00,0.00,0.00,2.10,98.00
533.00,0.00,0.00,1.90,98.00
534.00,0.00,0.00,1.70,98.00
535.00,0.00,0.00,1.50,94.00
536.00,0.00,0.00,1.50,91.00
537.00,19.00,19.00,1.80,92.00
538.00,51.00,51.00,2.30,90.00
539.00,79.00,79.00,2.80,87.00
540.00,92.00,92.00,3.20,80.00
541.00,96.00,96.00,3.50,80.00
542.00,95.00,95.00,3.70,81.00
543.00,77.00,77.00,3.70,79.00
544.00,45.00,45.00,3.50,79.00
545.00,19.00,19.00,3.20,73.00
546.00,0.00,0.00,2.90,84.00
547.00,0.00,0.00,2.40,84.00
548.00,0.00,0.00,1.80,87.00
549.00,0.00,0.00,1.70,87.00
550.00,0.00,0.00,1.30,87.00
551.00,0.00,0.00,0.90,88.00
552.00,0.00,0.00,0.50,88.00
553.00,0.00,0.00,0.20,91.00
554.00,0.00,0.00,0.00,89.00
555.00,0.00,0.00,-0.20,90.00
556.00,0.00,0.00,-0.30,91.00
557.00,0.00,0.00,-0.40,92.00
558.00,0.00,0.00,-0.40,91.00
559.00,0.00,0.00,-0.40,86.00
560.00,0.00,0.00,-0.30,87.00
